"","P(A)_P(¬A)_P(B)_P(¬B)","P(A^B)_P(A^¬B)_P(¬A^B)_P(¬B^¬A)","P(A∨B)_P(A^∨B)_P(¬A∨B)_P(¬B∨¬A)"
"344","2_4_3_1","1_4_3_2","4_1_2_3"
"345","1_2_3_4","1_3_4_2","3_1_2_4"
"346","1_4_2_3","1_3_4_2","4_1_2_3"
"347","1_4_2_3","1_2_3_4","2_1_4_3"
"348","3_1_2_4","1_3_4_2","4_2_1_3"
"349","1_4_2_3","1_2_3_4","2_1_3_4"
"350","2_4_3_1","1_3_4_2","4_2_1_3"
"351","1_4_3_2","1_2_3_4","2_1_4_3"
"352","3_2_1_4","1_3_4_2","4_1_2_3"
"353","3_2_1_4","1_3_4_2","4_2_1_3"
"354","1_4_3_2","2_1_3_4","1_2_3_4"
"355","2_4_1_3","1_3_4_2","3_1_2_4"
"356","1_4_2_3","1_2_4_3","1_2_4_3"
"357","4_3_2_1","2_4_3_1","4_2_1_3"
"358","3_4_2_1","2_3_4_1","3_1_2_4"
"359","4_1_2_3","2_3_4_1","3_2_1_4"
"360","3_2_1_4","1_3_4_2","3_1_2_4"
"361","1_4_2_3","2_1_4_3","2_1_4_3"
"362","4_3_2_1","2_3_4_1","3_1_2_4"
"363","1_4_3_2","2_1_3_4","2_1_3_4"
"364","4_1_2_3","1_3_4_2","4_1_2_3"
"365","3_1_4_2","1_3_4_2","3_1_2_4"
"366","4_2_1_3","1_3_4_2","4_1_2_3"
"367","1_4_2_3","2_1_4_3","1_2_3_4"
"368","1_4_2_3","2_4_3_1","3_1_2_4"
"369","2_4_3_1","2_4_3_1","3_2_1_4"
"370","3_1_4_2","1_4_3_2","4_2_1_3"
"371","4_3_2_1","1_4_3_2","3_1_2_4"
"372","1_4_2_3","2_3_4_1","4_2_1_3"
"373","1_3_2_4","1_3_4_2","4_2_1_3"
"374","4_3_2_1","1_3_4_2","4_2_1_3"
"375","4_1_2_3","2_3_4_1","4_1_2_3"
"376","3_4_2_1","1_3_4_2","4_2_1_3"
"377","1_4_3_2","1_2_3_4","1_2_3_4"
"378","2_3_4_1","1_3_4_2","4_2_1_3"
"379","1_4_3_2","2_1_4_3","1_2_3_4"
"380","2_1_4_3","1_4_3_2","4_2_1_3"
"381","2_4_3_1","1_4_3_2","3_1_2_4"
"382","1_4_2_3","2_1_4_3","1_2_4_3"
"383","4_2_1_3","3_2_1_4","2_4_3_1"
"384","3_2_1_4","3_2_1_4","1_4_3_2"
"385","2_3_1_4","3_2_1_4","1_4_3_2"
"386","3_2_1_4","3_4_1_2","3_4_1_2"
"387","3_2_1_4","2_3_1_4","1_4_2_3"
"388","3_2_1_4","3_2_1_4","1_4_2_3"
"389","3_2_1_4","2_4_1_3","2_4_1_3"
"390","3_2_1_4","1_4_2_3","2_3_1_4"
"391","3_2_1_4","2_3_1_4","2_3_1_4"
"392","2_3_1_4","2_3_1_4","1_4_2_3"
"393","3_2_1_4","1_4_3_2","3_2_1_4"
"394","2_3_1_4","1_4_3_2","3_2_1_4"
"395","2_3_1_4","1_3_2_4","2_3_1_4"
"396","1_3_2_4","1_2_3_4","1_2_3_4"
"397","1_4_2_3","1_2_3_4","1_2_3_4"
"398","1_3_2_4","1_3_4_2","3_1_2_4"
"399","4_1_2_3","4_3_1_2","3_4_1_2"
"400","3_2_1_4","4_2_1_3","2_4_3_1"
"401","3_1_2_4","4_2_1_3","2_4_3_1"
"402","4_2_1_3","4_2_1_3","2_4_3_1"
"403","1_3_2_4","3_2_1_4","1_3_4_2"
"404","1_4_2_3","3_2_1_4","1_4_3_2"
"405","3_1_2_4","2_4_1_3","3_4_1_2"
"406","3_2_1_4","1_4_2_3","2_4_1_3"
"407","3_2_1_4","1_3_2_4","2_4_1_3"
"408","2_3_1_4","1_3_2_4","1_4_2_3"
"409","2_3_1_4","1_4_2_3","2_3_1_4"
"410","2_3_1_4","1_3_2_4","1_3_2_4"
